"ExperimentalGroup","AnimalID","Sex","Treatment","BS_Original","EvictionStatus","IsolationDate","IsolationPeriod","PairingDate","EvictionDate","EvictionPairingDayDiff","Eviction_GS","EvictionCategory","FirstDCParturitionDate","UrineDate","UrineNumber","UrineDelay","VolumeCollected","NextParturition_ParturitionDate","NextParturition_ParturitionColony"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-03-04,31495,NA,1.1,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-03-17,31673,NA,0.5,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-04-03,31883,NA,0.7,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-04-28,32235,NA,1.2,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-05-07,32341,NA,0.9,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-05-10,32379,NA,1.8,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-05-13,32435,NA,0.3,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-05-15,32452,NA,1.8,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-05-17,32483,NA,1.8,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-05-20,32529,NA,0.7,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-05-22,32553,NA,0.4,2023-05-09,"Guinness"
